
Wed Jan 31 11:09:50.381 GMT-7

Interface                      IP-Address      Status          Protocol Vrf-Name
Bundle-Ether50.1004            10.192.72.198   Down            Down     VRF_4G_SER
Bundle-Ether50.1010            10.192.73.6     Down            Down     VRF_PS_CPUP
Bundle-Ether50.1011            10.192.73.14    Down            Down     VRF_PS_CPUP
Bundle-Ether50.1012            10.192.73.22    Down            Down     VRF_PS_CPUP
Bundle-Ether50.1013            10.192.73.30    Down            Down     VRF_PS_CPUP
Bundle-Ether50.1014            10.192.73.38    Down            Down     VRF_PS_CPUP
Bundle-Ether50.1020            10.192.73.86    Down            Down     VRF_INT_05
Bundle-Ether50.1021            10.192.73.94    Down            Down     VRF_INT_05
Bundle-Ether50.1022            10.192.73.102   Down            Down     VRF_INT_05
Bundle-Ether50.1023            10.192.73.110   Down            Down     VRF_INT_05
Bundle-Ether50.1024            10.192.73.118   Down            Down     VRF_INT_05
Bundle-Ether50.1030            unassigned      Down            Down     VRF_INT_05
Bundle-Ether50.1031            unassigned      Down            Down     VRF_INT_05
Bundle-Ether50.1032            unassigned      Down            Down     VRF_INT_05
Bundle-Ether50.1033            unassigned      Down            Down     VRF_INT_05
Bundle-Ether50.1034            unassigned      Down            Down     VRF_INT_05
Bundle-Ether50.1040            10.192.73.166   Down            Down     VRF_IMS 
Bundle-Ether50.1041            10.192.73.174   Down            Down     VRF_IMS 
Bundle-Ether50.1042            10.192.73.182   Down            Down     VRF_IMS 
Bundle-Ether50.1043            10.192.73.190   Down            Down     VRF_IMS 
Bundle-Ether50.1044            10.192.73.198   Down            Down     VRF_IMS 
Bundle-Ether50.1050            10.192.72.6     Down            Down     VRF_PS_CHARG
Bundle-Ether50.1051            10.192.72.14    Down            Down     VRF_PS_CHARG
Bundle-Ether50.1052            10.192.72.22    Down            Down     VRF_PS_CHARG
Bundle-Ether50.1053            10.192.72.30    Down            Down     VRF_PS_CHARG
Bundle-Ether50.1054            10.192.72.38    Down            Down     VRF_PS_CHARG
Bundle-Ether50.1060            10.192.72.86    Down            Down     VRF_PS_MPBN
Bundle-Ether50.1061            10.192.72.94    Down            Down     VRF_PS_MPBN
Bundle-Ether50.1062            10.192.72.102   Down            Down     VRF_PS_MPBN
Bundle-Ether50.1063            10.192.72.110   Down            Down     VRF_PS_MPBN
Bundle-Ether50.1064            10.192.72.118   Down            Down     VRF_PS_MPBN
Bundle-Ether50.1070            10.192.76.166   Down            Down     VRF_4G_SER
Bundle-Ether50.1071            10.192.76.174   Down            Down     VRF_4G_SER
Bundle-Ether50.1072            10.192.76.182   Down            Down     VRF_4G_SER
Bundle-Ether50.1073            10.192.76.190   Down            Down     VRF_4G_SER
Bundle-Ether50.1074            10.192.76.198   Down            Down     VRF_4G_SER
Bundle-Ether50.1080            10.192.77.6     Down            Down     VRF_PS_CPUP
Bundle-Ether50.1081            10.192.77.14    Down            Down     VRF_PS_CPUP
Bundle-Ether50.1082            10.192.77.22    Down            Down     VRF_PS_CPUP
Bundle-Ether50.1083            10.192.77.30    Down            Down     VRF_PS_CPUP
Bundle-Ether50.1084            10.192.77.38    Down            Down     VRF_PS_CPUP
Bundle-Ether50.1090            10.192.77.86    Down            Down     VRF_INT_06
Bundle-Ether50.1091            10.192.77.94    Down            Down     VRF_INT_06
Bundle-Ether50.1092            10.192.77.102   Down            Down     VRF_INT_06
Bundle-Ether50.1093            10.192.77.110   Down            Down     VRF_INT_06
Bundle-Ether50.1094            10.192.77.118   Down            Down     VRF_INT_06
Bundle-Ether50.1100            unassigned      Down            Down     VRF_INT_06
Bundle-Ether50.1101            unassigned      Down            Down     VRF_INT_06
Bundle-Ether50.1102            unassigned      Down            Down     VRF_INT_06
Bundle-Ether50.1103            unassigned      Down            Down     VRF_INT_06
Bundle-Ether50.1104            unassigned      Down            Down     VRF_INT_06
Bundle-Ether50.1110            10.192.77.166   Down            Down     VRF_IMS 
Bundle-Ether50.1111            10.192.77.174   Down            Down     VRF_IMS 
Bundle-Ether50.1112            10.192.77.182   Down            Down     VRF_IMS 
Bundle-Ether50.1113            10.192.77.190   Down            Down     VRF_IMS 
Bundle-Ether50.1114            10.192.77.198   Down            Down     VRF_IMS 
Bundle-Ether50.1120            10.192.76.6     Down            Down     VRF_PS_CHARG
Bundle-Ether50.1121            10.192.76.14    Down            Down     VRF_PS_CHARG
Bundle-Ether50.1122            10.192.76.22    Down            Down     VRF_PS_CHARG
Bundle-Ether50.1123            10.192.76.30    Down            Down     VRF_PS_CHARG
Bundle-Ether50.1124            10.192.76.38    Down            Down     VRF_PS_CHARG
Bundle-Ether50.1130            10.192.76.86    Down            Down     VRF_PS_MPBN
Bundle-Ether50.1131            10.192.76.94    Down            Down     VRF_PS_MPBN
Bundle-Ether50.1132            10.192.76.102   Down            Down     VRF_PS_MPBN
Bundle-Ether50.1133            10.192.76.110   Down            Down     VRF_PS_MPBN
Bundle-Ether50.1134            10.192.76.118   Down            Down     VRF_PS_MPBN
Bundle-Ether50.1350            10.192.89.28    Down            Down     VRF_PS_RAN
Bundle-Ether50.1351            10.192.89.254   Down            Down     VRF_PS_MPBN
Bundle-Ether50.1352            10.192.90.92    Down            Down     VRF_PS_CPUP
Bundle-Ether50.1353            10.192.90.126   Down            Down     VRF_PS_CPUP
Bundle-Ether50.1354            10.192.90.222   Down            Down     VRF_PS_CHARG
Bundle-Ether50.1501            10.192.194.98   Down            Down     VRF_PS_MPBN
Bundle-Ether50.1600            10.192.192.33   Down            Down     VRF_PS_MPBN
Bundle-Ether50.1601            10.192.194.114  Down            Down     VRF_PS_MPBN
Bundle-Ether50.1602            10.192.192.97   Down            Down     VRF_PS_MPBN
Bundle-Ether50.1603            10.192.195.193  Down            Down     VRF_PS_MPBN
Bundle-Ether50.1700            10.192.194.130  Down            Down     VRF_IMS 
Bundle-Ether50.1701            10.192.194.162  Down            Down     VRF_IMS 
Bundle-Ether50.1702            10.192.193.3    Down            Down     VRF_PS_MPBN
Bundle-Ether50.1703            10.192.194.67   Down            Down     VRF_PS_MPBN
Bundle-Ether50.1704            10.192.193.195  Down            Down     VRF_PS_MPBN
Bundle-Ether50.1705            10.192.193.66   Down            Down     VRF_PS_MPBN
Bundle-Ether50.1707            10.192.194.2    Down            Down     VRF_PS_MPBN
Bundle-Ether50.1708            10.192.192.194  Down            Down     VRF_PS_MPBN
Bundle-Ether50.1711            10.192.193.35   Down            Down     VRF_PS_MPBN
Bundle-Ether50.1712            10.192.193.227  Down            Down     VRF_PS_MPBN
Bundle-Ether50.1713            10.192.193.131  Down            Down     VRF_PS_MPBN
Bundle-Ether50.1714            10.192.193.163  Down            Down     VRF_PS_MPBN
Bundle-Ether50.1715            10.192.195.67   Down            Down     VRF_PS_MPBN
Bundle-Ether50.1719            10.192.195.19   Down            Down     VRF_PS_MPBN
Bundle-Ether50.1720            10.192.195.27   Down            Down     VRF_PS_MPBN
Bundle-Ether51.1140            10.192.104.166  Down            Down     VRF_4G_SER
Bundle-Ether51.1141            10.192.104.174  Down            Down     VRF_4G_SER
Bundle-Ether51.1142            10.192.104.182  Down            Down     VRF_4G_SER
Bundle-Ether51.1143            10.192.104.190  Down            Down     VRF_4G_SER
Bundle-Ether51.1144            10.192.104.198  Down            Down     VRF_4G_SER
Bundle-Ether51.1150            10.192.105.6    Down            Down     VRF_PS_CPUP
Bundle-Ether51.1151            10.192.105.14   Down            Down     VRF_PS_CPUP
Bundle-Ether51.1152            10.192.105.22   Down            Down     VRF_PS_CPUP
Bundle-Ether51.1153            10.192.105.30   Down            Down     VRF_PS_CPUP
Bundle-Ether51.1154            10.192.105.38   Down            Down     VRF_PS_CPUP
Bundle-Ether51.1160            10.192.105.86   Down            Down     VRF_INT_07
Bundle-Ether51.1161            10.192.105.94   Down            Down     VRF_INT_07
Bundle-Ether51.1162            10.192.105.102  Down            Down     VRF_INT_07
Bundle-Ether51.1163            10.192.105.110  Down            Down     VRF_INT_07
Bundle-Ether51.1164            10.192.105.118  Down            Down     VRF_INT_07
Bundle-Ether51.1170            unassigned      Down            Down     VRF_INT_07
Bundle-Ether51.1171            unassigned      Down            Down     VRF_INT_07
Bundle-Ether51.1172            unassigned      Down            Down     VRF_INT_07
Bundle-Ether51.1173            unassigned      Down            Down     VRF_INT_07
Bundle-Ether51.1174            unassigned      Down            Down     VRF_INT_07
Bundle-Ether51.1180            10.192.105.166  Down            Down     VRF_IMS 
Bundle-Ether51.1181            10.192.105.174  Down            Down     VRF_IMS 
Bundle-Ether51.1182            10.192.105.182  Down            Down     VRF_IMS 
Bundle-Ether51.1183            10.192.105.190  Down            Down     VRF_IMS 
Bundle-Ether51.1184            10.192.105.198  Down            Down     VRF_IMS 
Bundle-Ether51.1190            10.192.104.6    Down            Down     VRF_PS_CHARG
Bundle-Ether51.1191            10.192.104.14   Down            Down     VRF_PS_CHARG
Bundle-Ether51.1192            10.192.104.22   Down            Down     VRF_PS_CHARG
Bundle-Ether51.1193            10.192.104.30   Down            Down     VRF_PS_CHARG
Bundle-Ether51.1194            10.192.104.38   Down            Down     VRF_PS_CHARG
Bundle-Ether51.1200            10.192.104.86   Down            Down     VRF_PS_MPBN
Bundle-Ether51.1201            10.192.104.94   Down            Down     VRF_PS_MPBN
Bundle-Ether51.1202            10.192.104.102  Down            Down     VRF_PS_MPBN
Bundle-Ether51.1203            10.192.104.110  Down            Down     VRF_PS_MPBN
Bundle-Ether51.1204            10.192.104.118  Down            Down     VRF_PS_MPBN
Bundle-Ether60.1100            10.52.144.29    Down            Down     VRF_PS_MPBN
Bundle-Ether60.1101            10.52.127.61    Down            Down     VRF_PS_MPBN
Bundle-Ether60.1102            10.52.127.189   Down            Down     VRF_PS_MPBN
Bundle-Ether60.1103            10.52.148.13    Down            Down     VRF_PS_MPBN
Bundle-Ether60.1104            10.52.148.45    Down            Down     VRF_PS_MPBN
Bundle-Ether60.1105            10.52.144.93    Down            Down     VRF_PS_MPBN
Bundle-Ether60.1106            10.52.148.77    Down            Down     VRF_PS_MPBN
Bundle-Ether60.1107            10.52.148.93    Down            Down     VRF_PS_MPBN
Bundle-Ether60.1108            10.52.144.125   Down            Down     VRF_PS_MPBN
Bundle-Ether60.1109            10.52.148.109   Down            Down     VRF_PS_MPBN
Bundle-Ether60.1110            10.52.148.125   Down            Down     VRF_PS_MPBN
Bundle-Ether60.1111            10.52.148.141   Down            Down     VRF_PS_MPBN
Bundle-Ether60.1112            10.52.144.157   Down            Down     VRF_PS_MPBN
Bundle-Ether60.1113            10.52.144.61    Down            Down     VRF_PS_MPBN
Bundle-Ether60.1114            10.52.127.125   Down            Down     VRF_PS_MPBN
Bundle-Ether60.1115            10.52.127.253   Down            Down     VRF_PS_MPBN
Bundle-Ether60.1116            10.52.148.29    Down            Down     VRF_PS_MPBN
Bundle-Ether60.1117            10.52.148.61    Down            Down     VRF_PS_MPBN
Bundle-Ether60.1124            10.52.148.157   Down            Down     VRF_PS_MPBN
Bundle-Ether60.1125            10.52.144.189   Down            Down     VRF_PS_MPBN
Bundle-Ether60.1200            10.196.64.61    Down            Down     VRF_IMS 
Bundle-Ether60.1201            10.196.64.189   Down            Down     VRF_IMS 
Bundle-Ether60.1202            10.196.64.125   Down            Down     VRF_IMS 
Bundle-Ether60.1203            10.196.64.253   Down            Down     VRF_IMS 
Bundle-Ether60.1204            10.196.65.5     Down            Down     VRF_BIGDATA_MIRROR
Bundle-Ether60.1205            10.196.65.13    Down            Down     VRF_BIGDATA_MIRROR
Loopback0                      27.68.252.82    Up              Up       default 
Loopback5                      10.202.250.41   Up              Up       VRF_INT_5GC_02
Loopback10                     10.60.201.236   Up              Up       VRF_NMS_CORE
Loopback50                     10.192.65.195   Up              Up       VRF_PS_CPUP
Loopback51                     10.192.65.210   Up              Up       VRF_PS_MPBN
Loopback52                     10.192.65.207   Up              Up       VRF_PS_CHARG
Loopback53                     10.192.65.198   Up              Up       VRF_INT_03
Loopback54                     10.192.67.198   Up              Up       VRF_INT_04
Loopback55                     10.192.65.201   Up              Up       VRF_IMS 
Loopback56                     10.192.65.192   Up              Up       VRF_4G_SER
Loopback57                     10.192.97.198   Up              Up       VRF_INT_01
Loopback58                     10.192.99.198   Up              Up       VRF_INT_02
Loopback60                     10.192.75.60    Up              Up       VRF_PS_CPUP
Loopback61                     10.192.75.156   Up              Up       VRF_PS_MPBN
Loopback62                     10.192.75.153   Up              Up       VRF_PS_CHARG
Loopback63                     10.192.75.90    Up              Up       VRF_INT_05
Loopback65                     10.192.75.120   Up              Up       VRF_IMS 
Loopback66                     10.192.75.30    Up              Up       VRF_4G_SER
Loopback70                     10.192.79.60    Up              Up       VRF_PS_CPUP
Loopback71                     10.192.79.156   Up              Up       VRF_PS_MPBN
Loopback72                     10.192.79.153   Up              Up       VRF_PS_CHARG
Loopback73                     10.192.79.90    Up              Up       VRF_INT_06
Loopback75                     10.192.79.120   Up              Up       VRF_IMS 
Loopback76                     10.192.79.30    Up              Up       VRF_4G_SER
Loopback80                     10.192.107.60   Up              Up       VRF_PS_CPUP
Loopback81                     10.192.107.156  Up              Up       VRF_PS_MPBN
Loopback82                     10.192.107.153  Up              Up       VRF_PS_CHARG
Loopback83                     10.192.107.90   Up              Up       VRF_INT_07
Loopback85                     10.192.107.120  Up              Up       VRF_IMS 
Loopback86                     10.192.107.30   Up              Up       VRF_4G_SER
Loopback100                    10.202.250.225  Up              Up       VRF_PS_MPBN
tunnel-te111                   27.68.252.82    Down            Down     default 
tunnel-te112                   27.68.252.82    Down            Down     default 
tunnel-te113                   27.68.252.82    Down            Down     default 
tunnel-te114                   27.68.252.82    Down            Down     default 
tunnel-te130                   27.68.252.82    Down            Down     default 
tunnel-te150                   27.68.252.82    Down            Down     default 
tunnel-te160                   27.68.252.82    Down            Down     default 
tunnel-te161                   27.68.252.82    Down            Down     default 
tunnel-te162                   27.68.252.82    Down            Down     default 
tunnel-te163                   27.68.252.82    Down            Down     default 
tunnel-te164                   27.68.252.82    Down            Down     default 
tunnel-te165                   27.68.252.82    Down            Down     default 
tunnel-te927                   27.68.252.82    Down            Down     default 
tunnel-te928                   27.68.252.82    Down            Down     default 
tunnel-te30801                 27.68.252.82    Down            Down     default 
tunnel-te30803                 27.68.252.82    Down            Down     default 
tunnel-te30804                 27.68.252.82    Down            Down     default 
tunnel-te30805                 27.68.252.82    Down            Down     default 
tunnel-te30806                 27.68.252.82    Down            Down     default 
tunnel-te30807                 27.68.252.82    Down            Down     default 
tunnel-te30808                 27.68.252.82    Down            Down     default 
tunnel-te30810                 27.68.252.82    Down            Down     default 
tunnel-te30901                 27.68.252.82    Down            Down     default 
tunnel-te30902                 27.68.252.82    Down            Down     default 
tunnel-te30903                 27.68.252.82    Down            Down     default 
tunnel-te30904                 27.68.252.82    Down            Down     default 
tunnel-te30905                 27.68.252.82    Down            Down     default 
tunnel-te30906                 27.68.252.82    Down            Down     default 
tunnel-te30907                 27.68.252.82    Down            Down     default 
tunnel-te30908                 27.68.252.82    Down            Down     default 
tunnel-te31001                 27.68.252.82    Down            Down     default 
tunnel-te31002                 27.68.252.82    Down            Down     default 
tunnel-te31003                 27.68.252.82    Down            Down     default 
tunnel-te31004                 27.68.252.82    Down            Down     default 
tunnel-te31005                 27.68.252.82    Down            Down     default 
tunnel-te31006                 27.68.252.82    Down            Down     default 
tunnel-te31007                 27.68.252.82    Down            Down     default 
tunnel-te31008                 27.68.252.82    Down            Down     default 
tunnel-te31101                 27.68.252.82    Down            Down     default 
tunnel-te31102                 27.68.252.82    Down            Down     default 
tunnel-te31103                 27.68.252.82    Down            Down     default 
tunnel-te31104                 27.68.252.82    Down            Down     default 
tunnel-te31105                 27.68.252.82    Down            Down     default 
tunnel-te31106                 27.68.252.82    Down            Down     default 
tunnel-te31107                 27.68.252.82    Down            Down     default 
tunnel-te31108                 27.68.252.82    Down            Down     default 
tunnel-te31201                 27.68.252.82    Down            Down     default 
tunnel-te31202                 27.68.252.82    Down            Down     default 
tunnel-te31203                 27.68.252.82    Down            Down     default 
tunnel-te31204                 27.68.252.82    Down            Down     default 
tunnel-te31205                 27.68.252.82    Down            Down     default 
tunnel-te31206                 27.68.252.82    Down            Down     default 
tunnel-te31207                 27.68.252.82    Down            Down     default 
tunnel-te31208                 27.68.252.82    Down            Down     default 
MgmtEth0/RP0/CPU0/0            192.168.10.205  Up              Up       default 
GigabitEthernet0/0/0/0         unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/1         unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/2         unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/3         unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/4         unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/5         unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/6         172.100.1.20    Shutdown        Down     default 
