
Wed Jan 31 11:09:50.381 GMT-7

Interface                      IP-Address      Status          Protocol Vrf-Name
Bundle-Ether14.70              unassigned      Down            Down     default 
Bundle-Ether15.20              10.192.226.129  Down            Down     VRF_INT_03
Bundle-Ether15.21              10.192.226.133  Down            Down     VRF_INT_04
Bundle-Ether15.22              10.192.225.113  Down            Down     VRF_INT_07
Bundle-Ether15.23              10.202.250.33   Down            Down     VRF_INT_5GC_02
Bundle-Ether15.30              10.192.226.153  Down            Down     VRF_PS_MOBITV
Bundle-Ether15.31              10.192.226.157  Down            Down     VRF_PS_MOBITV
Bundle-Ether15.40              10.192.226.173  Down            Down     default 
Bundle-Ether15.60              unassigned      Down            Down     VRF_INT_03
Bundle-Ether15.61              unassigned      Down            Down     VRF_INT_04
Bundle-Ether15.62              unassigned      Down            Down     VRF_INT_07
Bundle-Ether15.70              unassigned      Down            Down     default 
Bundle-Ether16.20              10.192.226.137  Down            Down     VRF_INT_03
Bundle-Ether16.21              10.192.226.141  Down            Down     VRF_INT_04
Bundle-Ether16.22              10.192.225.117  Down            Down     VRF_INT_07
Bundle-Ether16.23              10.202.250.37   Down            Down     VRF_INT_5GC_02
Bundle-Ether16.30              10.192.226.161  Down            Down     VRF_PS_MOBITV
Bundle-Ether16.31              10.192.226.165  Down            Down     VRF_PS_MOBITV
Bundle-Ether16.40              10.192.226.177  Down            Down     default 
Bundle-Ether16.60              unassigned      Down            Down     VRF_INT_03
Bundle-Ether16.61              unassigned      Down            Down     VRF_INT_04
Bundle-Ether16.62              unassigned      Down            Down     VRF_INT_07
Bundle-Ether16.70              unassigned      Down            Down     default 
Bundle-Ether13.100             10.192.225.73   Down            Down     VRF_IMS 
Bundle-Ether14.100             10.192.225.77   Down            Down     VRF_IMS 
Bundle-Ether50.520             10.192.84.94    Down            Down     VRF_PS_MPBN
Bundle-Ether50.521             10.192.84.158   Down            Down     VRF_PS_MPBN
Bundle-Ether50.522             10.192.84.222   Down            Down     VRF_PS_MPBN
Bundle-Ether50.523             10.192.88.62    Down            Down     VRF_4G_SER
Bundle-Ether50.524             10.192.88.190   Down            Down     VRF_PS_CPUP
Bundle-Ether50.525             10.192.86.94    Down            Down     VRF_PS_MPBN
Bundle-Ether50.526             10.192.86.158   Down            Down     VRF_PS_MPBN
Bundle-Ether50.527             10.192.86.220   Down            Down     VRF_PS_MPBN
Bundle-Ether50.528             10.192.87.62    Down            Down     VRF_4G_SER
Bundle-Ether50.529             10.192.87.190   Down            Down     VRF_PS_CPUP
Bundle-Ether50.531             10.192.89.94    Down            Down     VRF_PS_MPBN
Bundle-Ether50.532             10.192.89.158   Down            Down     VRF_PS_MPBN
Bundle-Ether50.533             10.192.89.220   Down            Down     VRF_PS_MPBN
Bundle-Ether50.534             10.192.90.62    Down            Down     VRF_4G_SER
Bundle-Ether50.535             10.192.90.190   Down            Down     VRF_PS_CPUP
Bundle-Ether50.540             10.192.64.6     Down            Down     VRF_4G_SER
Bundle-Ether50.541             10.192.64.14    Down            Down     VRF_4G_SER
Bundle-Ether50.542             10.192.64.22    Down            Down     VRF_4G_SER
Bundle-Ether50.543             10.192.64.30    Down            Down     VRF_4G_SER
Bundle-Ether50.544             10.192.64.38    Down            Down     VRF_PS_CPUP
